# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.500000e-01
# Aref        : 4.906250e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.280416e+01	1.640207e+01	1.640209e+01	6.651683e-03	3.312636e-03	3.339047e-03	-1.320590e-05	-6.307106e-06	1.996003e-05	-9.050226e-03	-4.505153e-03	-4.545073e-03
2             	6.044564e+00	3.022293e+00	3.022272e+00	2.350079e-01	1.192455e-01	1.157624e-01	1.741511e-03	1.055424e-05	-1.447486e-03	-1.448118e-01	-7.385339e-02	-7.095842e-02
3             	6.566986e-01	3.283260e-01	3.283726e-01	3.723130e-02	2.063800e-02	1.659330e-02	2.022349e-03	-2.333134e-05	-1.362852e-03	-1.289342e-01	-6.582995e-02	-6.310424e-02
4             	-1.338370e-01	-6.692314e-02	-6.691383e-02	3.660437e-03	3.422580e-03	2.378566e-04	1.592362e-03	-4.659141e-06	-1.164363e-03	-3.591104e-02	-1.911988e-02	-1.679116e-02
5             	-1.061122e-01	-5.304979e-02	-5.306245e-02	1.354848e-02	8.061253e-03	5.487229e-03	1.287012e-03	6.334150e-06	-8.682288e-04	1.439027e-02	6.326909e-03	8.063366e-03
6             	2.725084e-02	1.363679e-02	1.361405e-02	2.458793e-02	1.324883e-02	1.133910e-02	9.548625e-04	1.136900e-05	-5.931820e-04	3.203999e-02	1.542681e-02	1.661318e-02
7             	1.244116e-01	6.222020e-02	6.219140e-02	3.021910e-02	1.573516e-02	1.448394e-02	6.256093e-04	1.440195e-05	-3.411496e-04	3.618320e-02	1.775045e-02	1.843275e-02
8             	1.684651e-01	8.425140e-02	8.421365e-02	3.345931e-02	1.710867e-02	1.635064e-02	3.790188e-04	1.887809e-05	-1.434209e-04	3.618196e-02	1.794756e-02	1.823440e-02
9             	1.824376e-01	9.124123e-02	9.119638e-02	3.539816e-02	1.788854e-02	1.750962e-02	1.894572e-04	2.242543e-05	1.540386e-05	3.578910e-02	1.790996e-02	1.787915e-02
10            	1.859831e-01	9.301758e-02	9.296548e-02	3.595603e-02	1.801715e-02	1.793888e-02	3.913332e-05	2.604768e-05	1.345649e-04	3.500784e-02	1.763848e-02	1.736935e-02
11            	1.867867e-01	9.342182e-02	9.336486e-02	3.565781e-02	1.774273e-02	1.791509e-02	-8.617992e-05	2.847796e-05	2.175393e-04	3.400573e-02	1.722041e-02	1.678533e-02
12            	1.883009e-01	9.418009e-02	9.412084e-02	3.477458e-02	1.720675e-02	1.756784e-02	-1.805439e-04	2.962430e-05	2.668736e-04	3.278010e-02	1.665692e-02	1.612318e-02
13            	1.900670e-01	9.506367e-02	9.500329e-02	3.364762e-02	1.657919e-02	1.706843e-02	-2.446157e-04	3.018903e-05	2.858870e-04	3.151985e-02	1.604581e-02	1.547404e-02
